Name,Best_Resolution,Memory_Bandwidth,Memory_Speed,Manufacturer,Release_Price,Core_Speed_Value,Core_Speed_Unit,Max_Power_Value,Max_Power_Unit,Memory_Value,Memory_Unit,Release_Year
GeForce GTS 150,,64GB/sec,1000 MHz,Nvidia,,738,MHz,141,Watts,1024,MB,2009
Radeon HD 2900 XT 512MB,1049088,106GB/sec,828 MHz,AMD,,,,215,Watts,512,MB,2007
Radeon HD 2900 Pro,1049088,51.2GB/sec,800 MHz,AMD,,,,200,Watts,512,MB,2007
Radeon HD 2600 XT Diamond Edition,786432,36.8GB/sec,1150 MHz,AMD,,,,,,256,MB,2007
Radeon HD 2600 XT,786432,22.4GB/sec,700 MHz,AMD,,,,45,Watts,256,MB,2007
Radeon HD 2600 XT 256MB GDDR4,786432,35.2GB/sec,1100 MHz,AMD,,,,50,Watts,256,MB,2007
Radeon HD 4890 Sapphire Vapor-X OC 2GB Edition,2073600,134.4GB/sec,1050 MHz,AMD,,870,MHz,190,Watts,2048,MB,2009
Radeon HD 2900 GT,786432,51.2GB/sec,800 MHz,AMD,,,,150,Watts,256,MB,2007
FirePro D300,2073600,160GB/sec,1250 MHz,AMD,,,,150,Watts,2048,MB,2014
Radeon 7000 64mb,,2.9GB/sec,366 MHz,AMD,,,,32,Watts,64,MB,2001
Quadro4 980 XGL,,5.2GB/sec,325 MHz,Nvidia,,,,,,128,MB,2002
Tesla M2090,2073600,177.6GB/sec,925 MHz,Nvidia,,650,MHz,250,Watts,6144,MB,2011
Tesla K20,,168GB/sec,1050 MHz,Nvidia,,705,MHz,225,Watts,5120,MB,2012
Tesla K40c,4096000,288.4GB/sec,1502 MHz,Nvidia,,706,MHz,245,Watts,12288,MB,2013
All-in-Wonder Radeon 7500,,5.8GB/sec,360 MHz,AMD,,,,,,64,MB,2002
Radeon R7 250 v2 MSI OC 2GB + Radeon R7 7870K Dual,1440000,57.6GB/sec,900 MHz,AMD,,1050,MHz,150,Watts,3072,MB,2015
Tesla K10,,320GB/sec,1250 MHz,Nvidia,,,,300,Watts,8192,MB,2012
Tesla K20X,,249.6GB/sec,1300 MHz,Nvidia,,732,MHz,235,Watts,6144,MB,2012
Iris i3 6167U,1049088,34.1GB/sec,1067 MHz,Intel,,300,MHz,28,Watts,,,2015
